IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟
74.119.132.1,443,true,SJC,北美洲,US,美国,圣何塞,2 ms
89.185.84.110,4712,true,LHR,欧洲,GB,英国,伦敦,140 ms
119.202.67.196,30012,true,ICN,亚太,KR,韩国,首尔,143 ms
61.75.175.39,18443,true,ICN,亚太,KR,韩国,首尔,144 ms
130.185.249.100,443,true,LHR,欧洲,GB,英国,伦敦,145 ms
58.228.188.127,30003,true,ICN,亚太,KR,韩国,首尔,146 ms
94.131.106.73,2057,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,154 ms
165.227.140.178,443,true,FRA,欧洲,DE,德国,法兰克福,155 ms
94.131.11.200,2055,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,158 ms
46.226.163.16,8444,true,FRA,欧洲,DE,德国,法兰克福,161 ms
65.108.236.241,7187,true,HEL,欧洲,FI,芬兰,赫尔辛基,174 ms
